observableId	simulationConditionId	measurement	time	observableParameters	noiseParameters	summaryStatistics
condition1__YAP_total_observable_SEM	condition1	0.078355	1.5			
condition1__YAP_total_observable_SEM	condition1	0.058976	1.5			
condition1__YAP_total_observable_SEM	condition1	0.069695	1.5			
condition1__YAP_total_observable_SEM	condition1	0.056137	1.5			
condition1__YAP_total_observable_SEM	condition1	0.063779	1.5			
condition1__YAP_total_observable_SEM	condition1	0.064301	2			
condition1__YAP_total_observable_SEM	condition1	0.057672	2			
condition1__YAP_total_observable_SEM	condition1	0.0478	2			
condition1__YAP_total_observable_SEM	condition1	0.060021	2			
condition1__YAP_total_observable_SEM	condition1	0.086371	2			
condition1__YAP_total_observable_SEM	condition1	0.083958	2			
condition1__YAP_total_observable_SEM	condition1	0.062393	2			
condition1__YAP_total_observable_SEM	condition1	0.045851	2			
condition1__YAP_total_observable_SEM	condition1	0.040799	2			
condition1__YAP_total_observable_SEM	condition1	0.052456	2			
condition1__YAP_total_observable_SEM	condition1	0.038045	3			
condition1__YAP_total_observable_SEM	condition1	0.041628	3			
condition1__YAP_total_observable_SEM	condition1	0.023707	3			
condition1__YAP_total_observable_SEM	condition1	0.038678	3			
condition1__YAP_total_observable_SEM	condition1	0.059953	3			
condition1__YAP_total_observable_SEM	condition1	0.063139	3			
condition1__YAP_total_observable_SEM	condition1	0.039955	3			
condition1__YAP_total_observable_SEM	condition1	0.032824	3			
condition1__YAP_total_observable_SEM	condition1	0.02734	3			
condition1__YAP_total_observable_SEM	condition1	0.042467	3			
condition1__YAP_total_observable_SEM	condition1	0.086697	5			
condition1__YAP_total_observable_SEM	condition1	0.049662	5			
condition1__YAP_total_observable_SEM	condition1	0.03371	5			
condition1__YAP_total_observable_SEM	condition1	0.029264	5			
condition1__YAP_total_observable_SEM	condition1	0.045947	5			
condition1__YAP_total_observable_SEM	condition1	0.05165	5			
condition1__YAP_total_observable_SEM	condition1	0.040636	5			
condition1__YAP_total_observable_SEM	condition1	0.051889	5			
condition1__YAP_total_observable_SEM	condition1	0.036178	5			
condition1__YAP_total_observable_SEM	condition1	0.040216	5			
