	collagen	mean	lower	upper	type	time_min
214	loose	19816.3509300674	18845.7248344338	20786.977025701	target	47
215	loose	19949.435265729	18950.5096745944	20948.3608568636	target	47.5
216	loose	20090.9194336854	19061.674475592	21120.1643917788	target	48
217	loose	20216.7392186477	19156.2758946487	21277.2025426467	target	48.5
218	loose	20334.398419027	19240.2568666735	21428.5399713805	target	49
219	loose	20436.4047462433	19306.7135945132	21566.0958979735	target	49.5
220	loose	20628.0015229721	19458.3411730969	21797.6618728474	target	50
221	loose	20804.0188969327	19592.0005822893	22016.037211576	target	50.5
222	loose	20967.6592868346	19712.9819483775	22222.3366252917	target	51
223	loose	21113.7868905597	19815.2893531424	22412.2844279769	target	51.5
224	loose	21264.1420688458	19918.4949924365	22609.7891452552	target	52
225	loose	21413.9376139868	20016.9039475564	22810.9712804172	target	52.5
226	loose	21542.3879775692	20090.6977516282	22994.0782035101	target	53
227	loose	21681.2992398774	20168.3002571	23194.2982226548	target	53.5
228	loose	21835.8807372631	20251.3558203506	23420.4056541757	target	54
229	loose	21962.7562050364	20297.4383567144	23628.0740533583	target	54.5
230	loose	22080.7441305605	20323.6385615808	23837.8496995402	target	55
231	loose	22206.5627850982	20343.2194300144	24069.9061401819	target	55.5
232	loose	22324.2009363738	20338.2977544532	24310.1041182944	target	56
233	loose	22402.9078752758	20283.7093574349	24522.1063931167	target	56.5
234	loose	22488.3242221581	20209.8824955701	24766.7659487462	target	57
235	loose	22562.4710326943	20082.3924481057	25042.549617283	target	57.5
236	loose	22612.2243731408	19867.8585954244	25356.5901508573	target	58
237	loose	22597.5204301128	19492.898513214	25702.1423470115	target	58.5
238	loose	22925.7155932519	19284.6469243552	26566.7842621487	target	59
239	loose	23222.3312317121	18698.0611721342	27746.6012912901	target	59.5
240	loose	23467.5799635616	17007.4901519779	29927.6697751452	target	60
